weight	trump	conservative
0.414148	1	4
2.02156	1	2
1.01163	1	3
0.569401	1	3
2.15925	1	3
1.50165	1	3
0.95511	1	4
0.838384	1	3
1.03674	1	3
0.494326	1	3
0.549032	1	3
0.638275	1	3
0.414148	1	3
3.39635	1	2
0.876692	1	3
0.288029	1	2
0.720268	1	3
0.534021	1	3
0.509049	1	3
0.393118	1	3
0.523969	1	3
0.81022	1	2
1.36212	1	2
0.941461	1	4
2.93543	1	2
0.386563	1	3
1.08622	1	4
0.216006	1	3
0.791694	1	3
0.403178	0	2
0.404689	1	4
5.75229	1	3
0.603758	0	3
0.386563	1	3
0.393118	1	3
0.309365	1	3
0.494973	1	3
0.448754	0	3
0.378713	1	2
0.514675	1	2
0.415086	1	3
0.559103	0	3
0.559103	1	3
0.374788	1	3
0.280931	0	2
1.26008	1	3
0.730539	1	2
0.761881	1	3
1.37657	0	2
1.16383	1	2
0.343997	1	2
0.41021	1	4
0.620878	1	3
0.319852	0	2
2.24984	0	3
0.894078	1	3
0.860406	1	2
0.625682	1	4
1.23755	1	2
0.319852	1	3
1.17325	1	3
0.826223	0	2
0.471754	1	3
1.89197	1	2
0.413622	1	3
0.378713	1	3
0.871063	1	4
0.463438	1	2
1.47203	1	3
0.801831	1	3
0.825803	1	3
1.02475	1	3
0.340179	0	2
0.143583	1	2
5.71317	1	2
0.494326	1	3
0.941461	1	2
0.574442	1	4
0.433234	1	2
1.12567	1	3
2.23219	1	4
0.633472	1	2
1.42998	1	2
2.15925	1	2
1.55164	1	4
0.394534	1	3
0.494326	1	4
0.866895	1	4
0.374788	1	2
0.708033	1	3
0.385755	1	3
0.35663	0	3
0.893395	1	3
1.85355	1	2
3.86068	1	2
0.43863	1	3
3.11317	1	3
1.27166	1	3
0.968291	1	3
5.18402	0	1
0.418755	1	3
2.78274	1	3
1.21086	0	3
0.097237	1	0
0.796919	0	2
0.706206	1	3
0.512698	1	4
0.574442	1	3
2.67715	1	3
1.73058	1	0
0.322583	1	3
1.30154	1	2
0.151513	1	2
1.10384	1	2
0.811586	1	3
0.871063	1	3
0.83092	1	3
0.7161	1	2
0.41021	1	3
0.381212	1	2
1.40297	1	3
0.32302	1	4
0.358882	1	2
1.02475	1	3
0.599915	1	3
0.415587	1	3
3.71742	1	2
0.677398	1	4
1.47203	1	2
1.32336	1	2
0.303083	1	4
0.277661	1	3
1.1979	1	4
0.524934	1	3
0.649333	1	2
0.651756	1	3
1.81831	1	2
0.573814	1	3
1.96774	1	3
0.50138	1	1
0.964074	1	3
2.29342	1	4
1.16144	1	2
0.555354	1	3
0.633591	1	3
0.386563	1	4
0.31428	1	3
4.38651	1	2
0.646724	0	2
3.06806	1	2
0.718898	0	2
0.804844	0	4
0.546835	1	3
0.574442	1	4
0.958414	0	3
0.935814	1	2
2.93543	1	3
3.61857	1	2
2.21451	1	2
0.338957	1	2
0.365313	1	3
0.972775	0	3
0.746483	1	3
0.309365	1	3
0.689859	1	3
0.876692	1	3
0.356962	1	3
0.43176	1	3
0.463189	1	4
0.461344	1	3
0.824616	1	3
0.42914	1	3
0.745202	1	3
0.358882	1	2
